name,gene,chr,start,end,length,density
chr1-100215000-100925000,"['BCAS2P2', 'RP4-714D9.5', 'DBT', 'AGL', 'RP11-305E17.6', 'RNU6-1318P', 'RP4-714D9.2', 'Y_RNA', 'RP5-837M10.2', 'RP5-884G6.2', 'RP11-305E17.7', 'BRI3P1', 'HIAT1', 'MIR553', 'SLC35A3', 'SASS6', 'LRRC39', 'RTCA', 'RNU4-75P', 'AL451051.1', 'TRMT13', 'RP5-837M10.1', 'RP11-305E17.4', 'RP4-714D9.4', 'RNU6-750P', 'FRRS1', 'AC104457.1', 'RP4-581O6.1', 'CDC14A']",['chr1'],[100215000],[100925000],[710000],40.845070422535215
chr1-100955000-101345000,"['RP11-84O12.4', 'GPR88', 'RP11-84O12.2', 'RP11-84O12.3', 'EXTL2', 'VCAM1', 'CDC14A']",['chr1'],[100955000],[101345000],[390000],17.94871794871795
chr1-101360000-101930000,"['RP4-575N6.5', 'RP11-157N3.1', 'RP5-1033H2.1', 'RP4-575N6.4', 'S1PR1', 'PPIAP7', 'HNRNPA1P68', 'snoU13', 'DPH5', 'EXTL2', 'RP4-575N6.2', 'RP4-549L20.3', 'AC093157.1', 'SCARNA16', 'RP11-421L21.2', 'SLC30A7', 'RP11-421L21.3']",['chr1'],[101360000],[101930000],[570000],29.82456140350877
chr1-1030000-1235000,"['MIR429', 'SCNN1D', 'C1orf159', 'SDF4', 'TNFRSF4', 'RP5-902P8.10', 'RP11-465B22.5', 'TTLL10', 'TNFRSF18', 'UBE2J2', 'MIR200B', 'MIR200A', 'FAM132A', 'ACAP3', 'RP5-902P8.12', 'B3GALT6', 'TTLL10-AS1', 'RP11-465B22.8']",['chr1'],[1030000],[1235000],[205000],87.80487804878048
chr1-107735000-108105000,"['NTNG1', 'RP11-270C12.3', 'AC114491.1']",['chr1'],[107735000],[108105000],[370000],8.108108108108107
chr1-108320000-108610000,"['VAV3-AS1', 'AL390036.1', 'VAV3']",['chr1'],[108320000],[108610000],[290000],10.344827586206897
chr1-109350000-109455000,"['STXBP3', 'GPSM2', 'SPATA42', 'AKNAD1']",['chr1'],[109350000],[109455000],[105000],38.095238095238095
chr1-109655000-109745000,"['KIAA1324', 'C1orf194']",['chr1'],[109655000],[109745000],[90000],22.222222222222225
chr1-109765000-110025000,"['PSMA5', 'SARS', 'MYBPHL', 'SORT1', 'CELSR2', 'PSRC1', 'SYPL2']",['chr1'],[109765000],[110025000],[260000],26.923076923076923
chr1-110090000-110665000,"['RP11-195M16.1', 'RPL7P8', 'ALX3', 'GNAT2', 'RP4-735C1.6', 'NDUFA5P10', 'RP11-195M16.3', 'GPR61', 'STRIP1', 'AMPD2', 'UBL4B', 'RP4-773N10.6', 'RP5-1160K1.3', 'EPS8L3', 'GNAI3', 'GSTM1', 'GSTM4', 'CSF1', 'AC000032.2', 'RP4-735C1.4', 'RP5-1160K1.6', 'AHCYL1', 'RNU6V', 'MIR197', 'GSTM5', 'RP4-773N10.4', 'GSTM3', 'GSTM2']",['chr1'],[110090000],[110665000],[575000],48.69565217391305
